expression,expression_count
know that thing we,2
that thing we put,2
thing we put over,2
we put over here,2
put over here with,2
over here with the,2
here with the pin,2
with the pin in,2
the pin in it,2
pin in it it's,2
in it it's time,2
it it's time to,2
it's time to take,2
time to take the,2
to take the pin,2
take the pin out,2
the pin out yeah,2
pin out yeah you'll,2
out yeah you'll find,2
yeah you'll find someone,2
you'll find someone i,2
find someone i know,2
someone i know you,2
i know you will,2
know you will the,2
you will the right,2
will the right woman,2
the right woman is,2
right woman is waiting,2
woman is waiting for,2
is waiting for you,2
waiting for you it's,2
for you it's easy,2
you it's easy for,2
it's easy for you,2
easy for you to,2
for you to say,2
you to say you,2
to say you found,2
say you found one,2
you found one already,2
found one already all,2
one already all you,2
already all you need,2
all you need is,2
you need is a,2
need is a woman,2
is a woman who,2
a woman who likes,2
woman who likes men,2
who likes men and,2
likes men and you'll,2
men and you'll be,2
and you'll be set,2
you'll be set not,2
be set not her,2
set not her we,2
not her we get,2
her we get off,2
we get off around,2
get off around midnight,2
off around midnight why,2
around midnight why don't,2
midnight why don't we,2
why don't we pick,2
don't we pick you,2
we pick you up,2
pick you up then,2
you up then rachel,2
up then rachel okay,2
then rachel okay monica,2
rachel okay monica great,2
okay monica great so,2
monica great so um,2
great so um will,2
so um will you,2
um will you bring,2
will you bring the,2
you bring the truck,2
bring the truck i'll,2
the truck i'll even,2
truck i'll even let,2
i'll even let you,2
even let you ring,2
let you ring the,2
you ring the bell,2
ring the bell wohoo,2
the bell wohoo fireman,2
bell wohoo fireman 1,2
wohoo fireman 1 we'll,2
fireman 1 we'll see,2
1 we'll see you,2
we'll see you later,2
see you later fireman,2
you later fireman 2,2
later fireman 2 bye,2
fireman 2 bye see,2
2 bye see you,2
bye see you later,3
see you later thanks,2
you later thanks see,2
later thanks see you,2
thanks see you oh,2
see you oh my,2
you oh my god,2
oh my god see,2
my god see there,2
god see there you,2
see there you go,2
there you go the,2
you go the cleansing,2
go the cleansing worked,2
the cleansing worked monica,2
cleansing worked monica you're,2
worked monica you're right,2
monica you're right they're,2
you're right they're nice,2
right they're nice guys,2
they're nice guys they're,2
nice guys they're firemen,2
guys they're firemen guys,2
they're firemen guys fireman,2
firemen guys fireman 1,2
guys fireman 1 you,2
fireman 1 you tell,2
1 you tell them,2
you tell them you're,2
tell them you're married,2
them you're married fireman,2
you're married fireman 2,2
married fireman 2 no,2
fireman 2 no way,2
2 no way my,2
no way my girlfriend,2
way my girlfriend doesn't,2
my girlfriend doesn't know,2
girlfriend doesn't know i'm,2
doesn't know i'm not,2
know i'm not gonna,4
i'm not gonna tell,6
not gonna tell them,2
gonna tell them ,2
tell them  02377,2
them  02377 ,2
 02377  04546,2
02377  04546 do,2
 04546 do you,2
04546 do you think,2
do you think they,2
you think they have,2
think they have yesterday's,2
they have yesterday's daily,2
have yesterday's daily news,2
yesterday's daily news monica,2
daily news monica why,2
news monica why i,2
monica why i just,2
why i just wanna,2
i just wanna check,2
just wanna check my,2
wanna check my horoscope,2
check my horoscope see,2
my horoscope see if,2
horoscope see if it,2
see if it was,2
if it was right,2
it was right oh,2
was right oh my,2
right oh my god,4
oh my god phoebe,2
my god phoebe don't,2
god phoebe don't look,2
phoebe don't look now,2
don't look now but,2
look now but behind,2
now but behind you,2
but behind you there's,2
behind you there's a,2
you there's a guy,2
there's a guy who,2
a guy who has,2
guy who has the,2
who has the potential,2
has the potential to,2
the potential to break,2
potential to break our,2
to break our hearts,2
break our hearts and,2
our hearts and plunge,2
hearts and plunge us,2
and plunge us into,2
plunge us into depression,2
us into depression where,2
into depression where ooh,2
depression where ooh come,2
where ooh come to,2
ooh come to mama,2
come to mama okay,2
to mama okay he's,2
mama okay he's coming,2
okay he's coming be,2
he's coming be cool,2
coming be cool be,2
be cool be cool,2
cool be cool be,2
cool be cool nice,2
be cool nice hat,2
cool nice hat both,2
nice hat both thanks,2
hat both thanks we,2
both thanks we should,2
thanks we should do,2
we should do something,2
should do something whistle,2
do something whistle we're,2
something whistle we're not,2
whistle we're not gonna,2
we're not gonna whistle,2
not gonna whistle yeah,2
gonna whistle yeah come,2
whistle yeah come on,2
yeah come on do,2
on do it no,2
do it no do,2
it no do it,2
no do it do,2
it do it woohoo,2
do it woohoo i,2
it woohoo i can't,2
woohoo i can't believe,2
believe you did that,2
you did that monica,2
did that monica why,2
that monica why did,2
monica why did i,2
why did i woohoo,2
did i woohoo i,2
i woohoo i mean,2
woohoo i mean what,2
i mean what was,2
mean what was i,2
what was i hoping,2
was i hoping he'd,2
i hoping he'd turn,2
hoping he'd turn around,2
he'd turn around and,2
turn around and say,2
around and say ooh,2
and say ooh i,2
say ooh i love,2
ooh i love that,2
i love that sound,2
love that sound i,2
that sound i must,2
sound i must have,2
i must have you,2
must have you now,2
have you now i,2
you now i just,2
now i just wish,2
i just wish there,2
just wish there was,2
wish there was something,2
there was something we,2
was something we could,2
something we could do,2
we could do hello,2
could do hello hello,2
do hello hello coma,2
hello hello coma guy,2
hello coma guy get,2
coma guy get up,2
guy get up you,2
get up you girl,2
up you girl scout,2
you girl scout up,2
girl scout up up,2
scout up up up,2
up up up phoebe,2
up up phoebe what,2
up phoebe what are,2
phoebe what are you,2
are you doing maybe,2
you doing maybe nobody's,2
doing maybe nobody's tried,2
maybe nobody's tried this,2
nobody's tried this i,2
tried this i wish,2
this i wish we,2
i wish we at,2
wish we at least,2
we at least knew,2
at least knew his,2
least knew his name,2
knew his name would,2
his name would you,2
name would you look,2
would you look at,4
you look at that,2
look at that face,2
at that face i,2
that face i mean,2
face i mean even,2
i mean even sleeping,2
mean even sleeping he,2
even sleeping he looks,2
sleeping he looks smart,2
he looks smart i,2
looks smart i bet,2
smart i bet he's,2
i bet he's a,2
bet he's a lawyer,2
he's a lawyer yeah,2
a lawyer yeah but,2
lawyer yeah but did,2
yeah but did you,2
but did you see,2
did you see the,2
you see the dents,2
see the dents in,2
the dents in his,2
dents in his knuckles,2
in his knuckles that,2
his knuckles that means,2
knuckles that means he's,2
that means he's artistic,2
means he's artistic okay,2
he's artistic okay he's,2
artistic okay he's a,2
okay he's a lawyer,2
he's a lawyer who,2
a lawyer who teaches,2
lawyer who teaches sculpting,2
who teaches sculpting on,2
teaches sculpting on the,2
sculpting on the side,2
on the side and,2
the side and he,2
side and he can,2
and he can dance,2
he can dance and,2
can dance and he's,2
dance and he's the,2
and he's the kind,2
he's the kind of,2
the kind of guy,2
kind of guy who,2
of guy who when,2
guy who when you're,2
who when you're talking,2
when you're talking he's,2
you're talking he's listening,2
talking he's listening you,2
he's listening you know,2
listening you know and,2
you know and not,2
know and not saying,2
and not saying yeah,2
not saying yeah i,2
saying yeah i understand,2
yeah i understand but,2
i understand but wondering,2
understand but wondering what,2
but wondering what you,2
wondering what you look,2
what you look like,2
you look like naked,2
look like naked oh,2
like naked oh stop,2
naked oh stop it,2
oh stop it i,2
stop it i wish,2
it i wish all,2
i wish all guys,2
wish all guys could,2
all guys could be,2
guys could be like,2
could be like him,2
be like him i,2
like him i know,2
him i know are,2
i know are there,2
know are there no,2
are there no conscious,2
there no conscious men,2
no conscious men in,2
conscious men in the,2
men in the city,2
in the city for,2
the city for you,2
city for you two,2
for you two he,2
you two he doesn't,2
two he doesn't have,2
he doesn't have anyone,2
doesn't have anyone yeah,2
have anyone yeah we,2
anyone yeah we feel,2
yeah we feel kind,2
we feel kind of,2
feel kind of responsible,2
kind of responsible i,2
of responsible i can't,2
responsible i can't believe,2
can't believe you said,2
believe you said woohoo,2
you said woohoo i,2
said woohoo i don't,2
woohoo i don't even,2
i don't even say,2
don't even say woohoo,2
even say woohoo oh,2
say woohoo oh she's,2
woohoo oh she's coming,2
oh she's coming up,2
she's coming up she's,2
coming up she's coming,2
up she's coming up,2
she's coming up folks,2
coming up folks when,2
up folks when we,2
folks when we come,2
when we come back,2
we come back we'll,2
come back we'll talk,2
back we'll talk about,2
we'll talk about her,2
talk about her new,2
about her new book,2
her new book euphoria,2
new book euphoria unbound,2
book euphoria unbound with,2
euphoria unbound with alwaysinteresting,2
unbound with alwaysinteresting nora,2
with alwaysinteresting nora tyler,2
alwaysinteresting nora tyler bing,2
nora tyler bing put,2
tyler bing put the,2
bing put the kids,2
put the kids to,2
the kids to bed,2
kids to bed for,2
to bed for this,2
bed for this one,2
for this one don't,2
this one don't watch,2
one don't watch this,2
don't watch this weekend,2
watch this weekend at,2
this weekend at bernie's,2
weekend at bernie's is,2
at bernie's is on,2
bernie's is on showtime,2
is on showtime and,2
on showtime and hbo,2
showtime and hbo and,2
and hbo and cinemex,2
hbo and cinemex no,2
and cinemex no way,2
cinemex no way come,2
no way come on,2
way come on she's,2
come on she's your,2
on she's your mom,2
she's your mom exactly,2
your mom exactly weekend,2
mom exactly weekend at,2
exactly weekend at bernie's,2
weekend at bernie's dead,2
at bernie's dead guy,2
bernie's dead guy getting,2
dead guy getting hit,2
guy getting hit in,2
getting hit in the,2
hit in the groin,2
in the groin 20,2
the groin 20 30,2
groin 20 30 times,2
20 30 times no,2
30 times no chandler,2
times no chandler i,2
no chandler i gotta,2
chandler i gotta tell,2
gotta tell you i,4
tell you i love,2
you i love your,2
i love your mom's,2
love your mom's books,2
your mom's books i,2
mom's books i love,2
books i love her,2
i love her books,2
love her books i,2
her books i cannot,2
books i cannot get,2
i cannot get on,2
cannot get on a,2
get on a plane,2
on a plane without,2
a plane without one,2
plane without one i,2
without one i mean,2
one i mean this,2
i mean this is,6
mean this is so,2
this is so cool,4
is so cool you,4
so cool you wouldn't,2
cool you wouldn't think,2
you wouldn't think it's,2
wouldn't think it's cool,2
think it's cool if,2
it's cool if you,2
cool if you were,2
if you were 11,2
you were 11 and,2
were 11 and all,2
11 and all your,2
and all your friends,2
all your friends were,2
your friends were passing,2
friends were passing around,2
were passing around page,2
passing around page 79,2
around page 79 of,2
page 79 of mistress,2
79 of mistress bitch,2
of mistress bitch come,2
mistress bitch come on,2
bitch come on chandler,2
come on chandler i,2
on chandler i love,2
chandler i love your,2
i love your mom,4
love your mom i,2
your mom i think,2
mom i think she's,2
i think she's a,2
think she's a blast,2
she's a blast you,2
a blast you can,2
blast you can say,2
you can say that,2
can say that she's,2
say that she's not,2
that she's not your,2
she's not your mom,2
not your mom ross,2
your mom ross oh,2
mom ross oh please,2
ross oh please she's,2
oh please she's the,2
please she's the rachel,2
she's the rachel hi,2
the rachel hi sweetie,2
rachel hi sweetie when,2
hi sweetie when did,2
sweetie when did rigatoni,2
when did rigatoni get,2
did rigatoni get back,2
rigatoni get back from,2
get back from rome,2
back from rome last,2
from rome last night,2
rome last night really,2
last night really so,2
night really so then,2
really so then his,2
so then his plane,2
then his plane didn't,2
his plane didn't explode,2
plane didn't explode in,2
didn't explode in a,2
explode in a big,2
in a big ball,2
a big ball of,2
big ball of fire,2
ball of fire just,2
of fire just a,2
fire just a dream,2
just a dream i,4
a dream i had,2
dream i had but,2
i had but phew,2
had but phew hey,2
but phew hey hey,2
phew hey hey hey,2
hey hey hey she's,2
hey hey she's on,2
hey she's on ah,2
she's on ah nora,2
on ah nora bing,2
ah nora bing before,2
nora bing before we,2
bing before we get,2
before we get to,2
we get to the,2
get to the book,2
to the book what,2
the book what is,2
book what is this,2
what is this about,2
is this about you,2
this about you being,2
about you being arrested,2
you being arrested in,2
being arrested in london,2
arrested in london what,2
in london what is,2
london what is that,2
what is that about,2
is that about your,2
that about your mom,2
about your mom was,2
your mom was arrested,2
mom was arrested shh,2
was arrested shh i'm,2
arrested shh i'm busy,2
shh i'm busy beaming,2
i'm busy beaming with,2
busy beaming with pride,2
beaming with pride this,2
with pride this is,2
pride this is kind,2
this is kind of,2
is kind of embarrassing,2
kind of embarrassing but,2
of embarrassing but occasionally,2
embarrassing but occasionally after,2
but occasionally after i've,2
occasionally after i've been,2
after i've been intimate,2
i've been intimate with,2
been intimate with a,2
intimate with a man,2
with a man why,2
a man why would,2
man why would she,2
why would she say,2
would she say that's,2
she say that's embarrassing,2
say that's embarrassing shh,2
that's embarrassing shh i,2
embarrassing shh i just,2
shh i just get,2
i just get this,2
just get this craving,2
get this craving for,2
this craving for kung,2
craving for kung pao,2
for kung pao chicken,2
kung pao chicken that's,2
pao chicken that's too,2
chicken that's too much,2
that's too much information,2
too much information so,2
much information so now,2
information so now you're,2
so now you're doing,2
now you're doing this,2
you're doing this book,2
doing this book tour,2
this book tour thing,2
book tour thing how's,2
tour thing how's that,2
thing how's that going,2
how's that going oh,2
that going oh fine,2
going oh fine i'm,2
oh fine i'm leaving,2
fine i'm leaving for,2
i'm leaving for new,2
leaving for new york,2
for new york tomorrow,2
new york tomorrow which,2
york tomorrow which i,2
tomorrow which i hate,2
which i hate but,2
i hate but i,2
hate but i get,2
but i get to,2
i get to see,2
get to see my,2
to see my son,2
see my son who,2
my son who i,2
son who i love,2
who i love group,2
i love group oh,2
love group oh this,2
group oh this is,2
oh this is the,2
this is the way,2
is the way that,2
the way that i,2
way that i find,2
that i find out,2
i find out most,2
find out most moms,2
out most moms use,2
most moms use the,2
moms use the phone,2
use the phone you,2
the phone you know,2
phone you know don't,2
you know don't take,2
know don't take this,2
don't take this wrong,2
take this wrong i,2
this wrong i just,2
wrong i just don't,2
i just don't see,2
just don't see you,2
don't see you as,2
see you as a,2
you as a mom,2
as a mom somehow,2
a mom somehow i,2
mom somehow i don't,2
somehow i don't mean,2
i don't mean that,2
don't mean that bad,2
mean that bad oh,2
that bad oh no,2
bad oh no i'm,2
oh no i'm a,2
no i'm a fabulous,2
i'm a fabulous mom,2
a fabulous mom i,2
fabulous mom i bought,2
mom i bought my,2
i bought my son,2
bought my son his,2
my son his first,2
son his first condoms,2
his first condoms and,2
first condoms and then,2
condoms and then he,2
and then he burst,2
then he burst into,2
he burst into flames,2
burst into flames monica,2
into flames monica let's,2
flames monica let's see,2
monica let's see congress,2
let's see congress is,2
see congress is debating,2
congress is debating a,2
is debating a new,2
debating a new deficitreduction,2
a new deficitreduction bill,2
new deficitreduction bill the,2
deficitreduction bill the mayor,2
bill the mayor wants,2
the mayor wants to,2
mayor wants to raise,2
wants to raise subway,2
to raise subway fares,2
raise subway fares again,2
subway fares again the,2
fares again the high,2
again the high today,2
the high today was,2
high today was 45,2
today was 45 and,2
was 45 and oh,2
45 and oh and,2
and oh and teams,2
oh and teams played,2
and teams played sports,2
teams played sports phoebe,2
played sports phoebe what,2
sports phoebe what about,2
phoebe what about glen,2
what about glen monica,2
about glen monica no,2
glen monica no he,2
monica no he could,2
no he could be,2
he could be a,2
could be a glen,2
be a glen mmmm,2
a glen mmmm not,2
glen mmmm not special,2
mmmm not special enough,2
not special enough ooh,2
special enough ooh how,2
enough ooh how about,2
ooh how about agamemnon,2
how about agamemnon way,2
about agamemnon way too,2
agamemnon way too special,2
way too special i'm,2
too special i'm famished,2
special i'm famished what,2
i'm famished what do,2
famished what do i,2
what do i want,2
do i want please,2
i want please god,2
want please god don't,2
please god don't let,2
god don't let it,2
don't let it be,2
let it be kung,2
it be kung pao,2
be kung pao chicken,2
kung pao chicken oh,2
pao chicken oh you,2
chicken oh you watched,2
oh you watched the,2
you watched the show,2
watched the show what,2
the show what did,2
show what did you,2
what did you think,3
did you think well,2
you think well i,2
think well i think,2
well i think you,2
i think you need,2
think you need to,2
you need to come,2
need to come out,2
to come out of,2
come out of your,2
out of your shell,2
of your shell just,2
your shell just what,2
shell just what is,2
just what is this,2
what is this dive,2
is this dive only,2
this dive only you,2
dive only you could've,2
only you could've picked,2
you could've picked this,2
could've picked this place,2
picked this place oh,2
this place oh come,2
place oh come on,2
oh come on shut,2
come on shut up,2
on shut up it's,2
shut up it's fun,2
up it's fun hi,2
it's fun hi nora,2
fun hi nora give,2
hi nora give me,2
nora give me a,2
give me a hug,2
me a hug well,2
a hug well i,2
hug well i think,2
well i think we're,2
i think we're ready,4
think we're ready for,6
we're ready for some,4
ready for some tequila,2
for some tequila i,2
some tequila i know,2
tequila i know i,2
know i am who's,2
i am who's doing,2
am who's doing shots,2
who's doing shots hit,2
doing shots hit me,2
shots hit me i'm,2
hit me i'm in,2
me i'm in there,2
i'm in there you,2
in there you go,2
there you go ross,2
you go ross uh,2
go ross uh i'm,2
ross uh i'm not,2
uh i'm not really,2
i'm not really a,4
not really a shotdrinking,2
really a shotdrinking kind,2
a shotdrinking kind of,2
shotdrinking kind of guy,2
kind of guy hi,2
of guy hi sorry,2
guy hi sorry sorry,2
hi sorry sorry we're,2
sorry sorry we're late,2
sorry we're late we,2
we're late we uh,2
late we uh kind,2
we uh kind of,2
uh kind of just,2
kind of just you,2
of just you know,2
just you know lost,2
you know lost track,2
know lost track of,2
lost track of time,2
track of time but,2
of time but a,2
time but a man,2
but a man can,2
a man can change,2
man can change anyone,2
can change anyone want,2
change anyone want me,2
anyone want me to,2
want me to appraise,2
me to appraise anything,2
to appraise anything mrs,2
appraise anything mrs bing,2
anything mrs bing i,2
mrs bing i have,2
bing i have to,2
i have to tell,2
have to tell you,2
to tell you i've,2
tell you i've read,2
you i've read everything,2
i've read everything you've,2
read everything you've ever,2
everything you've ever written,2
you've ever written no,2
ever written no i,2
written no i mean,2
no i mean it,4
i mean it when,2
mean it when i,2
it when i read,2
when i read euphoria,2
i read euphoria at,2
read euphoria at midnight,2
euphoria at midnight all,2
at midnight all i,2
midnight all i wanted,2
all i wanted to,2
i wanted to do,2
wanted to do was,2
to do was become,2
do was become a,2
was become a writer,2
become a writer oh,2
a writer oh please,2
writer oh please honey,2
oh please honey if,2
please honey if i,2
honey if i can,2
if i can do,4
i can do it,2
can do it anybody,2
do it anybody can,2
it anybody can you,2
anybody can you just,2
can you just start,2
you just start with,2
just start with half,2
start with half a,2
with half a dozen,2
half a dozen european,2
a dozen european cities,2
dozen european cities throw,2
european cities throw in,2
cities throw in 30,2
throw in 30 euphemisms,2
in 30 euphemisms for,2
30 euphemisms for male,2
euphemisms for male genitalia,2
for male genitalia and,2
male genitalia and bam,2
genitalia and bam you,2
and bam you have,2
bam you have got,2
you have got yourself,2
have got yourself a,2
got yourself a book,2
yourself a book my,2
a book my mother,2
book my mother ladies,2
my mother ladies and,2
mother ladies and gentlemen,2
ladies and gentlemen yeah,2
and gentlemen yeah any,2
gentlemen yeah any messages,2
yeah any messages for,2
any messages for room,2
messages for room 226,2
for room 226 you,2
room 226 you okay,2
226 you okay slugger,2
you okay slugger oh,2
okay slugger oh yeah,2
slugger oh yeah i'm,2
oh yeah i'm fine,2
yeah i'm fine i'm,8
i'm fine i'm fine,8
fine i'm fine what,2
i'm fine what is,2
fine what is with,2
what is with you,2
is with you tonight,2
with you tonight nothing,2
you tonight nothing nothing,2
tonight nothing nothing nothing,2
nothing nothing nothing nothing,2
nothing nothing nothing nora,2
nothing nothing nora okay,2
nothing nora okay thank,2
nora okay thank you,2
okay thank you it's,2
thank you it's the,2
you it's the italian,2
it's the italian handlicker,2
the italian handlicker isn't,2
italian handlicker isn't it,2
handlicker isn't it no,2
isn't it no it's,2
it no it's the,2
no it's the one,2
it's the one he's,2
the one he's licking,2
one he's licking she's,2
he's licking she's supposed,2
licking she's supposed to,2
she's supposed to be,2
supposed to be with,2
to be with you,2
be with you you're,2
with you you're good,2
you you're good oh,2
you're good oh ross,2
good oh ross listen,2
oh ross listen to,2
ross listen to me,2
listen to me i,4
to me i have,2
me i have sold,2
i have sold 100,2
have sold 100 million,2
sold 100 million copies,2
100 million copies of,2
million copies of my,2
copies of my books,2
of my books and,2
my books and you,2
books and you know,2
and you know why,2
you know why the,2
know why the girl,2
why the girl on,2
the girl on the,2
girl on the cover,2
on the cover with,4
the cover with her,2
cover with her nipples,2
with her nipples showing,2
her nipples showing no,2
nipples showing no because,2
showing no because i,2
no because i know,2
because i know how,2
i know how to,2
know how to write,2
how to write men,2
to write men that,2
write men that women,2
men that women fall,2
that women fall in,2
women fall in love,2
fall in love with,2
in love with believe,2
love with believe me,2
with believe me i,2
believe me i cannot,2
me i cannot sell,2
i cannot sell a,2
cannot sell a paolo,2
sell a paolo people,2
a paolo people will,2
paolo people will not,2
people will not turn,2
will not turn 325,2
not turn 325 pages,2
turn 325 pages for,2
325 pages for a,2
pages for a paolo,2
for a paolo come,2
a paolo come on,2
paolo come on the,2
come on the guy's,2
on the guy's a,2
the guy's a secondary,2
guy's a secondary character,2
a secondary character he's,2
secondary character he's just,2
character he's just a,2
he's just a you,2
just a you know,2
a you know a,2
you know a complication,2
know a complication you,2
a complication you eventually,2
complication you eventually kill,2
you eventually kill off,2
eventually kill off when,2
kill off when he's,2
off when he's not,2
when he's not a,2
he's not a hero,2
not a hero you,2
a hero you know,2
hero you know who,2
you know who our,2
know who our hero,2
who our hero is,2
our hero is the,2
hero is the guy,2
is the guy on,2
the guy on the,2
guy on the cover,2
the cover with his,2
cover with his nipples,2
with his nipples showing,2
his nipples showing no,2
nipples showing no it's,2
showing no it's you,2
no it's you please,2
it's you please no,2
you please no really,2
please no really come,2
no really come on,2
really come on you're,2
come on you're smart,2
on you're smart you're,2
you're smart you're sexy,2
smart you're sexy right,2
you're sexy right oh,2
sexy right oh come,2
right oh come on,2
oh come on kiddo,2
come on kiddo you're,2
on kiddo you're gonna,2
kiddo you're gonna be,2
gonna be fine believe,2
be fine believe me,2
fine believe me uhoh,2
believe me uhoh uh,2
me uhoh uh i'll,2
uhoh uh i'll just,2
uh i'll just pee,2
i'll just pee in,2
just pee in the,2
pee in the street,2
in the street is,2
the street is chandler,2
street is chandler here,2
is chandler here yeah,2
chandler here yeah wait,2
here yeah wait come,2
yeah wait come here,2
wait come here okay,2
come here okay uh,2
here okay uh about,2
okay uh about last,2
uh about last night,2
about last night um,2
last night um you,2
night um you know,2
um you know chandler,2
you know chandler you,2
know chandler you didn't,2
chandler you didn't tell,2
you didn't tell okay,2
didn't tell okay i'm,2
tell okay i'm thinking,2
okay i'm thinking we,2
i'm thinking we don't,2
thinking we don't need,2
we don't need to,2
don't need to tell,2
need to tell chandler,2
to tell chandler it,2
tell chandler it was,2
chandler it was just,2
was just a kiss,2
just a kiss one,2
a kiss one kiss,2
kiss one kiss no,2
one kiss no big,2
kiss no big deal,2
no big deal right,2
big deal right right,2
deal right right no,2
right right no big,2
right no big deal,2
no big deal okay,2
big deal okay in,2
deal okay in bizarroworld,2
okay in bizarroworld you,2
in bizarroworld you broke,2
bizarroworld you broke the,2
you broke the code,2
broke the code what,2
the code what code,2
code what code you,2
what code you don't,2
code you don't kiss,2
you don't kiss your,2
don't kiss your friend's,2
kiss your friend's mom,2
your friend's mom sisters,2
friend's mom sisters are,2
mom sisters are okay,2
sisters are okay maybe,2
are okay maybe a,2
okay maybe a hotlooking,2
maybe a hotlooking aunt,2
a hotlooking aunt but,2
hotlooking aunt but not,2
aunt but not a,2
but not a mom,2
not a mom never,2
a mom never a,2
mom never a mom,2
never a mom what,2
a mom what are,2
mom what are you,2
what are you guys,10
are you guys doing,8
you guys doing out,4
guys doing out here,4
doing out here uh,2
out here uh well,2
here uh well joey,2
uh well joey and,2
well joey and i,2
joey and i had,2
and i had discussed,2
i had discussed getting,2
had discussed getting in,2
discussed getting in an,2
getting in an early,2
in an early morning,2
an early morning racquetball,2
early morning racquetball game,2
morning racquetball game but,2
racquetball game but urn,2
game but urn apparently,2
but urn apparently somebody,2
urn apparently somebody overslept,2
apparently somebody overslept yeah,2
somebody overslept yeah well,2
overslept yeah well you,2
yeah well you don't,2
well you don't have,2
you don't have your,2
don't have your racquet,2
have your racquet no,2
your racquet no no,2
racquet no no i,2
no i don't because,2
i don't because it's,2
don't because it's being,2
because it's being restrung,2
it's being restrung ahem,2
being restrung ahem somebody,2
restrung ahem somebody was,2
ahem somebody was supposed,2
somebody was supposed to,2
was supposed to bring,2
supposed to bring me,2
to bring me one,2
bring me one yeah,2
me one yeah well,2
one yeah well you,2
yeah well you didn't,4
well you didn't call,2
you didn't call and,2
didn't call and leave,2
call and leave your,2
and leave your grip,2
leave your grip size,2
your grip size okay,2
grip size okay you,2
size okay you guys,2
okay you guys are,2
you guys are spending,2
guys are spending way,2
are spending way too,2
spending way too much,2
way too much time,2
too much time together,2
much time together okay,2
time together okay i'm,2
together okay i'm scum,2
okay i'm scum i'm,2
i'm scum i'm scum,2
scum i'm scum ross,2
i'm scum ross how,2
scum ross how could,2
ross how could you,2
how could you let,2
could you let this,2
you let this happen,2
let this happen i,2
this happen i don't,2
happen i don't know,4
i don't know well,2
don't know well it's,2
know well it's not,2
well it's not like,2
it's not like she's,2
not like she's a,2
like she's a regular,2
she's a regular mom,2
a regular mom you,2
regular mom you know,2
mom you know she's,2
you know she's sexy,2
know she's sexy she's,2
she's sexy she's you,2
sexy she's you don't,2
she's you don't think,2
you don't think my,2
don't think my mom's,2
think my mom's sexy,2
my mom's sexy well,2
mom's sexy well not,2
sexy well not in,2
well not in the,2
not in the same,2
in the same way,2
the same way i'll,2
same way i'll have,2
way i'll have you,2
i'll have you know,2
have you know that,2
you know that gloria,2
know that gloria tribbiani,2
that gloria tribbiani was,2
gloria tribbiani was a,2
tribbiani was a handsome,2
was a handsome woman,2
a handsome woman in,2
handsome woman in her,2
woman in her day,2
in her day all,2
her day all right,4
day all right you,2
all right you think,2
right you think it's,2
you think it's easy,2
think it's easy giving,2
it's easy giving birth,2
easy giving birth to,2
giving birth to seven,2
birth to seven children,2
to seven children huh,2
seven children huh okay,2
children huh okay i,2
huh okay i think,2
okay i think we're,2
i think we're getting,2
think we're getting into,2
we're getting into a,2
getting into a weird,2
into a weird area,2
a weird area here,2
weird area here aah,2
area here aah hey,2
here aah hey hey,2
aah hey hey what,2
hey hey what are,2
hey what are you,4
doing out here well,2
out here well ha,2
here well ha ha,2
well ha ha not,2
ha ha not playing,2
ha not playing racquetball,2
not playing racquetball he,2
playing racquetball he forgot,2
racquetball he forgot to,2
he forgot to leave,2
forgot to leave his,2
to leave his grip,2
leave his grip size,2
his grip size he,2
grip size he didn't,2
size he didn't get,2
he didn't get the,2
didn't get the goggles,2
get the goggles oh,2
the goggles oh right,2
goggles oh right well,2
oh right well sounds,2
right well sounds like,2
well sounds like you,2
sounds like you two,2
like you two have,2
you two have issues,2
two have issues goodbye,2
have issues goodbye baby,2
issues goodbye baby do,2
goodbye baby do they,2
baby do they wait,2
do they wait for,2
they wait for me,2
wait for me to,2
for me to do,2
me to do this,2
to do this so,2
do this so are,2
this so are you,2
so are you gonna,4
are you gonna tell,2
you gonna tell him,2
gonna tell him i'm,2
tell him i'm not,2
him i'm not gonna,2
not gonna tell him,2
gonna tell him why,2
tell him why would,2
him why would i,2
why would i tell,2
would i tell him,2
i tell him how,2
tell him how about,2
him how about because,2
how about because if,2
about because if you,2
because if you don't,2
if you don't his,2
you don't his mother,2
don't his mother might,2
his mother might hmm,2
mother might hmm what,2
might hmm what are,2
hmm what are you,2
you guys doing here,6
guys doing here uh,4
doing here uh he's,2
here uh he's not,2
uh he's not even,2
he's not even wearing,2
not even wearing a,2
even wearing a jock,2
wearing a jock strap,2
a jock strap what,2
jock strap what did,2
strap what did i,2
what did i ask,2
did i ask hi,2
i ask hi hi,2
ask hi hi what,2
you doing here nothing,2
doing here nothing i,2
here nothing i just,2
nothing i just thought,2
i just thought i'd,6
just thought i'd stop,2
thought i'd stop by,2
i'd stop by you,2
stop by you know,2
by you know after,2
you know after the,2
know after the ahem,2
after the ahem that,2
the ahem that i,2
ahem that i you,2
that i you know,2
i you know um,2
you know um so,2
know um so what,2
um so what are,4
you doing here i'm,2
doing here i'm not,2
here i'm not really,2
i'm not really here,2
not really here i,2
really here i just,2
here i just thought,2
just thought i'd drop,2
thought i'd drop these,2
i'd drop these off,2
drop these off on,2
these off on the,2
off on the way,2
on the way my,2
the way my way,2
way my way do,2
my way do you,2
way do you um,2
do you um come,2
you um come here,2
um come here a,2
come here a lot,2
here a lot without,2
a lot without me,2
